entidad,region,informalidad_2024,participacion_2024,tasa_desocupacion,anio,trimestre,periodo_label
Oaxaca,Sur-Sureste,79.8,55.8,1.1,2022,T2,2022-T2
Oaxaca,Sur-Sureste,79.8,55.8,1.0,2022,T3,2022-T3
Oaxaca,Sur-Sureste,79.8,55.8,0.9,2022,T4,2022-T4
Oaxaca,Sur-Sureste,79.8,55.8,1.0,2023,T1,2023-T1
Oaxaca,Sur-Sureste,79.8,55.8,1.1,2023,T2,2023-T2
Oaxaca,Sur-Sureste,79.8,55.8,1.0,2023,T3,2023-T3
Oaxaca,Sur-Sureste,79.8,55.8,0.9,2023,T4,2023-T4
Oaxaca,Sur-Sureste,79.8,55.8,1.1,2024,T1,2024-T1
Oaxaca,Sur-Sureste,79.8,55.8,1.2,2024,T2,2024-T2
Oaxaca,Sur-Sureste,79.8,55.8,1.1,2024,T3,2024-T3
Oaxaca,Sur-Sureste,79.8,55.8,1.0,2024,T4,2024-T4
Puebla,Centro,65.2,61.4,2.9,2020,T1,2020-T1
Puebla,Centro,65.2,61.4,4.8,2020,T2,2020-T2
Puebla,Centro,65.2,61.4,4.1,2020,T3,2020-T3
Puebla,Centro,65.2,61.4,3.5,2020,T4,2020-T4
Puebla,Centro,65.2,61.4,3.2,2021,T1,2021-T1
Puebla,Centro,65.2,61.4,2.9,2021,T2,2021-T2
Puebla,Centro,65.2,61.4,2.6,2021,T3,2021-T3
Puebla,Centro,65.2,61.4,2.4,2021,T4,2021-T4
Puebla,Centro,65.2,61.4,2.3,2022,T1,2022-T1
Puebla,Centro,65.2,61.4,2.2,2022,T2,2022-T2
Puebla,Centro,65.2,61.4,2.1,2022,T3,2022-T3
Puebla,Centro,65.2,61.4,2.0,2022,T4,2022-T4
Puebla,Centro,65.2,61.4,2.1,2023,T1,2023-T1
Puebla,Centro,65.2,61.4,2.2,2023,T2,2023-T2
Puebla,Centro,65.2,61.4,2.1,2023,T3,2023-T3
Puebla,Centro,65.2,61.4,2.0,2023,T4,2023-T4
Puebla,Centro,65.2,61.4,2.2,2024,T1,2024-T1
Puebla,Centro,65.2,61.4,2.3,2024,T2,2024-T2
Puebla,Centro,65.2,61.4,2.2,2024,T3,2024-T3
Puebla,Centro,65.2,61.4,2.1,2024,T4,2024-T4
Querétaro,Centro-Norte,42.1,64.3,3.4,2020,T1,2020-T1
Querétaro,Centro-Norte,42.1,64.3,5.7,2020,T2,2020-T2
Querétaro,Centro-Norte,42.1,64.3,4.9,2020,T3,2020-T3
Querétaro,Centro-Norte,42.1,64.3,4.2,2020,T4,2020-T4
Querétaro,Centro-Norte,42.1,64.3,3.9,2021,T1,2021-T1
Querétaro,Centro-Norte,42.1,64.3,3.6,2021,T2,2021-T2
Querétaro,Centro-Norte,42.1,64.3,3.3,2021,T3,2021-T3
Querétaro,Centro-Norte,42.1,64.3,3.1,2021,T4,2021-T4
Querétaro,Centro-Norte,42.1,64.3,3.0,2022,T1,2022-T1
Querétaro,Centro-Norte,42.1,64.3,2.9,2022,T2,2022-T2
Querétaro,Centro-Norte,42.1,64.3,2.8,2022,T3,2022-T3
Querétaro,Centro-Norte,42.1,64.3,2.7,2022,T4,2022-T4
Querétaro,Centro-Norte,42.1,64.3,2.8,2023,T1,2023-T1
Querétaro,Centro-Norte,42.1,64.3,2.9,2023,T2,2023-T2
Querétaro,Centro-Norte,42.1,64.3,2.8,2023,T3,2023-T3
Querétaro,Centro-Norte,42.1,64.3,2.7,2023,T4,2023-T4
Querétaro,Centro-Norte,42.1,64.3,2.9,2024,T1,2024-T1
Querétaro,Centro-Norte,42.1,64.3,3.0,2024,T2,2024-T2
Querétaro,Centro-Norte,42.1,64.3,2.9,2024,T3,2024-T3
Querétaro,Centro-Norte,42.1,64.3,2.8,2024,T4,2024-T4
Quintana Roo,Sur-Sureste,44.6,66.7,3.2,2020,T1,2020-T1
Quintana Roo,Sur-Sureste,44.6,66.7,5.3,2020,T2,2020-T2
Quintana Roo,Sur-Sureste,44.6,66.7,4.5,2020,T3,2020-T3
Quintana Roo,Sur-Sureste,44.6,66.7,3.9,2020,T4,2020-T4
Quintana Roo,Sur-Sureste,44.6,66.7,3.6,2021,T1,2021-T1
Quintana Roo,Sur-Sureste,44.6,66.7,3.3,2021,T2,2021-T2
Quintana Roo,Sur-Sureste,44.6,66.7,3.1,2021,T3,2021-T3
Quintana Roo,Sur-Sureste,44.6,66.7,2.9,2021,T4,2021-T4
Quintana Roo,Sur-Sureste,44.6,66.7,2.8,2022,T1,2022-T1
Quintana Roo,Sur-Sureste,44.6,66.7,2.7,2022,T2,2022-T2
Quintana Roo,Sur-Sureste,44.6,66.7,2.6,2022,T3,2022-T3
Quintana Roo,Sur-Sureste,44.6,66.7,2.5,2022,T4,2022-T4
Quintana Roo,Sur-Sureste,44.6,66.7,2.6,2023,T1,2023-T1
Quintana Roo,Sur-Sureste,44.6,66.7,2.7,2023,T2,2023-T2
Quintana Roo,Sur-Sureste,44.6,66.7,2.6,2023,T3,2023-T3
Quintana Roo,Sur-Sureste,44.6,66.7,2.5,2023,T4,2023-T4
Quintana Roo,Sur-Sureste,44.6,66.7,2.7,2024,T1,2024-T1
Quintana Roo,Sur-Sureste,44.6,66.7,2.8,2024,T2,2024-T2
Quintana Roo,Sur-Sureste,44.6,66.7,2.7,2024,T3,2024-T3
Quintana Roo,Sur-Sureste,44.6,66.7,2.6,2024,T4,2024-T4
San Luis Potosí,Centro-Norte,58.9,59.8,2.8,2020,T1,2020-T1
San Luis Potosí,Centro-Norte,58.9,59.8,4.6,2020,T2,2020-T2
San Luis Potosí,Centro-Norte,58.9,59.8,3.9,2020,T3,2020-T3
San Luis Potosí,Centro-Norte,58.9,59.8,3.4,2020,T4,2020-T4
San Luis Potosí,Centro-Norte,58.9,59.8,3.1,2021,T1,2021-T1
San Luis Potosí,Centro-Norte,58.9,59.8,2.8,2021,T2,2021-T2
San Luis Potosí,Centro-Norte,58.9,59.8,2.6,2021,T3,2021-T3
San Luis Potosí,Centro-Norte,58.9,59.8,2.4,2021,T4,2021-T4
San Luis Potosí,Centro-Norte,58.9,59.8,2.3,2022,T1,2022-T1
San Luis Potosí,Centro-Norte,58.9,59.8,2.2,2022,T2,2022-T2
San Luis Potosí,Centro-Norte,58.9,59.8,2.1,2022,T3,2022-T3
San Luis Potosí,Centro-Norte,58.9,59.8,2.0,2022,T4,2022-T4
San Luis Potosí,Centro-Norte,58.9,59.8,2.1,2023,T1,2023-T1
San Luis Potosí,Centro-Norte,58.9,59.8,2.2,2023,T2,2023-T2
San Luis Potosí,Centro-Norte,58.9,59.8,2.1,2023,T3,2023-T3
San Luis Potosí,Centro-Norte,58.9,59.8,2.0,2023,T4,2023-T4
San Luis Potosí,Centro-Norte,58.9,59.8,2.2,2024,T1,2024-T1
San Luis Potosí,Centro-Norte,58.9,59.8,2.3,2024,T2,2024-T2
San Luis Potosí,Centro-Norte,58.9,59.8,2.2,2024,T3,2024-T3
San Luis Potosí,Centro-Norte,58.9,59.8,3.2,2024,T4,2024-T4
Sinaloa,Norte,51.2,60.4,2.6,2020,T1,2020-T1
Sinaloa,Norte,51.2,60.4,4.3,2020,T2,2020-T2
Sinaloa,Norte,51.2,60.4,3.7,2020,T3,2020-T3
Sinaloa,Norte,51.2,60.4,3.2,2020,T4,2020-T4
Sinaloa,Norte,51.2,60.4,2.9,2021,T1,2021-T1
Sinaloa,Norte,51.2,60.4,2.6,2021,T2,2021-T2
Sinaloa,Norte,51.2,60.4,2.4,2021,T3,2021-T3
Sinaloa,Norte,51.2,60.4,2.2,2021,T4,2021-T4
Sinaloa,Norte,51.2,60.4,2.1,2022,T1,2022-T1
Sinaloa,Norte,51.2,60.4,2.0,2022,T2,2022-T2
Sinaloa,Norte,51.2,60.4,1.9,2022,T3,2022-T3
Sinaloa,Norte,51.2,60.4,1.8,2022,T4,2022-T4
Sinaloa,Norte,51.2,60.4,1.9,2023,T1,2023-T1
Sinaloa,Norte,51.2,60.4,2.0,2023,T2,2023-T2
Sinaloa,Norte,51.2,60.4,1.9,2023,T3,2023-T3
Sinaloa,Norte,51.2,60.4,1.8,2023,T4,2023-T4
Sinaloa,Norte,51.2,60.4,2.0,2024,T1,2024-T1
Sinaloa,Norte,51.2,60.4,2.1,2024,T2,2024-T2
Sinaloa,Norte,51.2,60.4,2.0,2024,T3,2024-T3
Sinaloa,Norte,51.2,60.4,1.9,2024,T4,2024-T4
Sonora,Norte,38.7,62.5,3.5,2020,T1,2020-T1
Sonora,Norte,38.7,62.5,5.8,2020,T2,2020-T2
Sonora,Norte,38.7,62.5,4.9,2020,T3,2020-T3
Sonora,Norte,38.7,62.5,4.2,2020,T4,2020-T4
Sonora,Norte,38.7,62.5,3.9,2021,T1,2021-T1
Sonora,Norte,38.7,62.5,3.6,2021,T2,2021-T2
Sonora,Norte,38.7,62.5,3.3,2021,T3,2021-T3
Sonora,Norte,38.7,62.5,3.1,2021,T4,2021-T4
Sonora,Norte,38.7,62.5,3.0,2022,T1,2022-T1
Sonora,Norte,38.7,62.5,2.9,2022,T2,2022-T2
Sonora,Norte,38.7,62.5,2.8,2022,T3,2022-T3
Sonora,Norte,38.7,62.5,2.7,2022,T4,2022-T4
Sonora,Norte,38.7,62.5,2.8,2023,T1,2023-T1
Sonora,Norte,38.7,62.5,2.9,2023,T2,2023-T2
Sonora,Norte,38.7,62.5,2.8,2023,T3,2023-T3
Sonora,Norte,38.7,62.5,2.7,2023,T4,2023-T4
Sonora,Norte,38.7,62.5,2.9,2024,T1,2024-T1
Sonora,Norte,38.7,62.5,3.6,2024,T2,2024-T2
Sonora,Norte,38.7,62.5,3.2,2024,T3,2024-T3
Sonora,Norte,38.7,62.5,2.8,2024,T4,2024-T4
Tabasco,Sur-Sureste,55.8,58.2,4.2,2020,T1,2020-T1
Tabasco,Sur-Sureste,55.8,58.2,6.8,2020,T2,2020-T2
Tabasco,Sur-Sureste,55.8,58.2,5.8,2020,T3,2020-T3
Tabasco,Sur-Sureste,55.8,58.2,5.1,2020,T4,2020-T4
Tabasco,Sur-Sureste,55.8,58.2,4.7,2021,T1,2021-T1
Tabasco,Sur-Sureste,55.8,58.2,4.4,2021,T2,2021-T2
Tabasco,Sur-Sureste,55.8,58.2,4.1,2021,T3,2021-T3
Tabasco,Sur-Sureste,55.8,58.2,3.8,2021,T4,2021-T4
Tabasco,Sur-Sureste,55.8,58.2,3.7,2022,T1,2022-T1
Tabasco,Sur-Sureste,55.8,58.2,3.6,2022,T2,2022-T2
Tabasco,Sur-Sureste,55.8,58.2,3.5,2022,T3,2022-T3
Tabasco,Sur-Sureste,55.8,58.2,3.4,2022,T4,2022-T4
Tabasco,Sur-Sureste,55.8,58.2,3.6,2023,T1,2023-T1
Tabasco,Sur-Sureste,55.8,58.2,3.8,2023,T2,2023-T2
Tabasco,Sur-Sureste,55.8,58.2,3.7,2023,T3,2023-T3
Tabasco,Sur-Sureste,55.8,58.2,3.6,2023,T4,2023-T4
Tabasco,Sur-Sureste,55.8,58.2,3.8,2024,T1,2024-T1
Tabasco,Sur-Sureste,55.8,58.2,4.0,2024,T2,2024-T2
Tabasco,Sur-Sureste,55.8,58.2,3.9,2024,T3,2024-T3
Tabasco,Sur-Sureste,55.8,58.2,4.1,2024,T4,2024-T4
Tamaulipas,Norte,42.3,60.1,3.4,2020,T1,2020-T1
Tamaulipas,Norte,42.3,60.1,5.6,2020,T2,2020-T2
Tamaulipas,Norte,42.3,60.1,4.8,2020,T3,2020-T3
Tamaulipas,Norte,42.3,60.1,4.2,2020,T4,2020-T4
Tamaulipas,Norte,42.3,60.1,3.8,2021,T1,2021-T1
Tamaulipas,Norte,42.3,60.1,3.5,2021,T2,2021-T2
Tamaulipas,Norte,42.3,60.1,3.2,2021,T3,2021-T3
Tamaulipas,Norte,42.3,60.1,3.0,2021,T4,2021-T4
Tamaulipas,Norte,42.3,60.1,2.9,2022,T1,2022-T1
Tamaulipas,Norte,42.3,60.1,2.8,2022,T2,2022-T2
Tamaulipas,Norte,42.3,60.1,2.7,2022,T3,2022-T3
Tamaulipas,Norte,42.3,60.1,2.6,2022,T4,2022-T4
Tamaulipas,Norte,42.3,60.1,2.7,2023,T1,2023-T1
Tamaulipas,Norte,42.3,60.1,2.8,2023,T2,2023-T2
Tamaulipas,Norte,42.3,60.1,2.7,2023,T3,2023-T3
Tamaulipas,Norte,42.3,60.1,2.6,2023,T4,2023-T4
Tamaulipas,Norte,42.3,60.1,2.8,2024,T1,2024-T1
Tamaulipas,Norte,42.3,60.1,3.4,2024,T2,2024-T2
Tamaulipas,Norte,42.3,60.1,3.2,2024,T3,2024-T3
Tamaulipas,Norte,42.3,60.1,3.1,2024,T4,2024-T4
Tlaxcala,Centro,62.4,61.4,3.1,2020,T1,2020-T1
Tlaxcala,Centro,62.4,61.4,5.1,2020,T2,2020-T2
Tlaxcala,Centro,62.4,61.4,4.3,2020,T3,2020-T3
Tlaxcala,Centro,62.4,61.4,3.7,2020,T4,2020-T4
Tlaxcala,Centro,62.4,61.4,3.4,2021,T1,2021-T1
Tlaxcala,Centro,62.4,61.4,3.1,2021,T2,2021-T2
Tlaxcala,Centro,62.4,61.4,2.8,2021,T3,2021-T3
Tlaxcala,Centro,62.4,61.4,2.6,2021,T4,2021-T4
Tlaxcala,Centro,62.4,61.4,2.5,2022,T1,2022-T1
Tlaxcala,Centro,62.4,61.4,2.4,2022,T2,2022-T2
Tlaxcala,Centro,62.4,61.4,2.3,2022,T3,2022-T3
Tlaxcala,Centro,62.4,61.4,2.2,2022,T4,2022-T4
Tlaxcala,Centro,62.4,61.4,2.3,2023,T1,2023-T1
Tlaxcala,Centro,62.4,61.4,2.4,2023,T2,2023-T2
Tlaxcala,Centro,62.4,61.4,2.3,2023,T3,2023-T3
Tlaxcala,Centro,62.4,61.4,2.2,2023,T4,2023-T4
Tlaxcala,Centro,62.4,61.4,2.4,2024,T1,2024-T1
Tlaxcala,Centro,62.4,61.4,2.5,2024,T2,2024-T2
Tlaxcala,Centro,62.4,61.4,2.4,2024,T3,2024-T3
Tlaxcala,Centro,62.4,61.4,2.3,2024,T4,2024-T4
Veracruz,Sur-Sureste,67.8,58.6,2.3,2020,T1,2020-T1
Veracruz,Sur-Sureste,67.8,58.6,3.9,2020,T2,2020-T2
Veracruz,Sur-Sureste,67.8,58.6,3.3,2020,T3,2020-T3
Veracruz,Sur-Sureste,67.8,58.6,2.9,2020,T4,2020-T4
Veracruz,Sur-Sureste,67.8,58.6,2.6,2021,T1,2021-T1
Veracruz,Sur-Sureste,67.8,58.6,2.3,2021,T2,2021-T2
Veracruz,Sur-Sureste,67.8,58.6,2.1,2021,T3,2021-T3
Veracruz,Sur-Sureste,67.8,58.6,1.9,2021,T4,2021-T4
Veracruz,Sur-Sureste,67.8,58.6,1.8,2022,T1,2022-T1
Veracruz,Sur-Sureste,67.8,58.6,1.7,2022,T2,2022-T2
Veracruz,Sur-Sureste,67.8,58.6,1.6,2022,T3,2022-T3
Veracruz,Sur-Sureste,67.8,58.6,1.5,2022,T4,2022-T4
Veracruz,Sur-Sureste,67.8,58.6,1.6,2023,T1,2023-T1
Veracruz,Sur-Sureste,67.8,58.6,1.7,2023,T2,2023-T2
Veracruz,Sur-Sureste,67.8,58.6,1.6,2023,T3,2023-T3
Veracruz,Sur-Sureste,67.8,58.6,1.5,2023,T4,2023-T4
Veracruz,Sur-Sureste,67.8,58.6,1.7,2024,T1,2024-T1
Veracruz,Sur-Sureste,67.8,58.6,1.8,2024,T2,2024-T2
Veracruz,Sur-Sureste,67.8,58.6,1.7,2024,T3,2024-T3
Veracruz,Sur-Sureste,67.8,58.6,1.6,2024,T4,2024-T4
Yucatán,Sur-Sureste,48.9,65.8,2.1,2020,T1,2020-T1
Yucatán,Sur-Sureste,48.9,65.8,3.5,2020,T2,2020-T2
Yucatán,Sur-Sureste,48.9,65.8,2.9,2020,T3,2020-T3
Yucatán,Sur-Sureste,48.9,65.8,2.6,2020,T4,2020-T4
Yucatán,Sur-Sureste,48.9,65.8,2.3,2021,T1,2021-T1
Yucatán,Sur-Sureste,48.9,65.8,2.1,2021,T2,2021-T2
Yucatán,Sur-Sureste,48.9,65.8,1.9,2021,T3,2021-T3
Yucatán,Sur-Sureste,48.9,65.8,1.7,2021,T4,2021-T4
Yucatán,Sur-Sureste,48.9,65.8,1.6,2022,T1,2022-T1
Yucatán,Sur-Sureste,48.9,65.8,1.5,2022,T2,2022-T2
Yucatán,Sur-Sureste,48.9,65.8,1.4,2022,T3,2022-T3
Yucatán,Sur-Sureste,48.9,65.8,1.3,2022,T4,2022-T4
Yucatán,Sur-Sureste,48.9,65.8,1.4,2023,T1,2023-T1
Yucatán,Sur-Sureste,48.9,65.8,1.5,2023,T2,2023-T2
Yucatán,Sur-Sureste,48.9,65.8,1.4,2023,T3,2023-T3
Yucatán,Sur-Sureste,48.9,65.8,1.3,2023,T4,2023-T4
Yucatán,Sur-Sureste,48.9,65.8,1.5,2024,T1,2024-T1
Yucatán,Sur-Sureste,48.9,65.8,1.6,2024,T2,2024-T2
Yucatán,Sur-Sureste,48.9,65.8,1.5,2024,T3,2024-T3
Yucatán,Sur-Sureste,48.9,65.8,1.4,2024,T4,2024-T4
Zacatecas,Centro-Norte,58.4,57.2,2.7,2020,T1,2020-T1
Zacatecas,Centro-Norte,58.4,57.2,4.4,2020,T2,2020-T2
Zacatecas,Centro-Norte,58.4,57.2,3.7,2020,T3,2020-T3
Zacatecas,Centro-Norte,58.4,57.2,3.2,2020,T4,2020-T4
Zacatecas,Centro-Norte,58.4,57.2,2.9,2021,T1,2021-T1
Zacatecas,Centro-Norte,58.4,57.2,2.6,2021,T2,2021-T2
Zacatecas,Centro-Norte,58.4,57.2,2.4,2021,T3,2021-T3
Zacatecas,Centro-Norte,58.4,57.2,2.2,2021,T4,2021-T4
Zacatecas,Centro-Norte,58.4,57.2,2.1,2022,T1,2022-T1
Zacatecas,Centro-Norte,58.4,57.2,2.0,2022,T2,2022-T2
Zacatecas,Centro-Norte,58.4,57.2,1.9,2022,T3,2022-T3
Zacatecas,Centro-Norte,58.4,57.2,1.8,2022,T4,2022-T4
Zacatecas,Centro-Norte,58.4,57.2,1.9,2023,T1,2023-T1
Zacatecas,Centro-Norte,58.4,57.2,2.0,2023,T2,2023-T2
Zacatecas,Centro-Norte,58.4,57.2,1.9,2023,T3,2023-T3
Zacatecas,Centro-Norte,58.4,57.2,1.8,2023,T4,2023-T4
Zacatecas,Centro-Norte,58.4,57.2,2.0,2024,T1,2024-T1
Zacatecas,Centro-Norte,58.4,57.2,3.1,2024,T2,2024-T2
Zacatecas,Centro-Norte,58.4,57.2,2.8,2024,T3,2024-T3
Zacatecas,Centro-Norte,58.4,57.2,2.7,2024,T4,2024-T4
